zone_id,zone_name,polygon_coordinates,value
28,BUKIT TIMAH/WATTEN,"POLYGON((103.814 1.34719,103.816 1.3452,103.817 1.34482,103.818 1.3448,103.818 1.34495,103.819 1.34496,103.82 1.34489,103.818 1.33963,103.818 1.33795,103.819 1.3367,103.819 1.33578,103.818 1.33365,103.817 1.33259,103.815 1.3307,103.815 1.33006,103.814 1.32831,103.814 1.32774,103.814 1.32637,103.814 1.32544,103.813 1.32333,103.812 1.32357,103.811 1.32411,103.805 1.32819,103.803 1.3293,103.8 1.33021,103.798 1.331,103.796 1.33175,103.791 1.33346,103.79 1.3339,103.789 1.33418,103.789 1.3357,103.789 1.33691,103.789 1.3389,103.789 1.34103,103.789 1.34334,103.79 1.34486,103.791 1.34697,103.792 1.34962,103.792 1.35019,103.793 1.35052,103.794 1.35047,103.796 1.34992,103.797 1.34929,103.799 1.3478,103.8 1.34629,103.801 1.34607,103.802 1.34641,103.803 1.34663,103.803 1.34764,103.803 1.34857,103.803 1.34906,103.804 1.35023,103.806 1.35138,103.806 1.35124,103.807 1.35152,103.808 1.3514,103.811 1.3493,103.814 1.34719))",8
29,DUNEARN/ADAM,"POLYGON((103.842 1.32911,103.841 1.32899,103.841 1.32873,103.841 1.32797,103.841 1.32717,103.839 1.32726,103.838 1.32756,103.837 1.32692,103.837 1.32625,103.837 1.32523,103.837 1.32504,103.836 1.32485,103.835 1.3248,103.835 1.32487,103.834 1.32602,103.833 1.32566,103.832 1.3259,103.83 1.32679,103.83 1.32682,103.829 1.32644,103.828 1.32626,103.828 1.32602,103.828 1.32572,103.827 1.32506,103.827 1.32405,103.827 1.3235,103.826 1.32263,103.826 1.32205,103.826 1.32159,103.826 1.32106,103.825 1.32079,103.823 1.32174,103.82 1.32254,103.817 1.3229,103.813 1.32333,103.814 1.32544,103.814 1.32637,103.814 1.32774,103.814 1.32831,103.815 1.33006,103.815 1.3307,103.817 1.33259,103.818 1.33365,103.819 1.33578,103.819 1.3367,103.818 1.33795,103.818 1.33963,103.82 1.34489,103.822 1.34554,103.826 1.34588,103.827 1.34572,103.828 1.34509,103.831 1.34427,103.832 1.34414,103.832 1.34433,103.834 1.34513,103.836 1.34605,103.836 1.3459,103.837 1.34554,103.837 1.34491,103.836 1.34339,103.836 1.3427,103.836 1.3427,103.836 1.34266,103.836 1.34263,103.837 1.3431,103.838 1.34313,103.838 1.34288,103.84 1.34194,103.84 1.34178,103.841 1.34146,103.841 1.34146,103.844 1.34008,103.844 1.3392,103.843 1.33725,103.843 1.33752,103.842 1.33746,103.842 1.33715,103.842 1.33658,103.842 1.33635,103.841 1.33605,103.838 1.33571,103.838 1.33524,103.838 1.33474,103.838 1.33446,103.842 1.33503,103.842 1.33455,103.842 1.33227,103.842 1.33001,103.842 1.32911))",15.75
30,NOVENA,"POLYGON((103.826 1.32159,103.826 1.32205,103.826 1.32263,103.827 1.3235,103.827 1.32405,103.827 1.32506,103.828 1.32572,103.828 1.32602,103.828 1.32626,103.829 1.32644,103.83 1.32682,103.83 1.32679,103.832 1.3259,103.833 1.32566,103.834 1.32602,103.835 1.32487,103.835 1.3248,103.836 1.32485,103.837 1.32504,103.837 1.32523,103.837 1.32625,103.837 1.32692,103.838 1.32756,103.839 1.32726,103.841 1.32717,103.841 1.32797,103.841 1.32873,103.841 1.32899,103.842 1.32809,103.842 1.32615,103.843 1.32538,103.845 1.32431,103.846 1.32424,103.847 1.32458,103.847 1.32574,103.848 1.32667,103.849 1.32581,103.85 1.32476,103.851 1.32542,103.851 1.32534,103.851 1.32509,103.85 1.32429,103.849 1.32368,103.849 1.32307,103.849 1.32288,103.849 1.32281,103.85 1.32267,103.851 1.32336,103.852 1.3231,103.852 1.32247,103.853 1.3225,103.853 1.32096,103.853 1.32026,103.853 1.31986,103.853 1.31986,103.853 1.31986,103.853 1.31985,103.852 1.3195,103.85 1.31846,103.85 1.31881,103.849 1.31881,103.847 1.31802,103.846 1.31784,103.846 1.3176,103.846 1.31719,103.847 1.31634,103.846 1.31491,103.846 1.31431,103.84 1.31366,103.839 1.31315,103.839 1.31379,103.835 1.31734,103.834 1.31793,103.831 1.3189,103.825 1.32079,103.826 1.32106,103.826 1.32159))",71.25
31,TOA PAYOH,"POLYGON((103.864 1.3372,103.864 1.33719,103.864 1.33685,103.865 1.3365,103.865 1.33537,103.865 1.33423,103.865 1.3317,103.864 1.33048,103.864 1.33007,103.862 1.33063,103.861 1.33057,103.857 1.32943,103.856 1.32921,103.856 1.3292,103.853 1.32933,103.849 1.3298,103.848 1.32976,103.846 1.32911,103.846 1.32921,103.846 1.32979,103.843 1.32956,103.842 1.32933,103.842 1.32911,103.842 1.33001,103.842 1.33227,103.842 1.33455,103.842 1.33503,103.838 1.33446,103.838 1.33474,103.838 1.33524,103.838 1.33571,103.841 1.33605,103.842 1.33635,103.842 1.33658,103.842 1.33715,103.842 1.33746,103.843 1.33752,103.843 1.33725,103.844 1.3392,103.844 1.34008,103.841 1.34147,103.842 1.34239,103.843 1.34373,103.844 1.34402,103.844 1.34388,103.845 1.3438,103.845 1.34375,103.846 1.34371,103.846 1.34371,103.848 1.34377,103.849 1.34377,103.849 1.34371,103.852 1.34346,103.853 1.3433,103.853 1.34327,103.854 1.34326,103.854 1.34323,103.856 1.3433,103.857 1.3433,103.857 1.34278,103.858 1.34169,103.862 1.33885,103.864 1.3372,103.864 1.3372))",199.75
32,KIM KEAT,"POLYGON((103.855 1.31925,103.855 1.31925,103.855 1.31931,103.853 1.31986,103.853 1.31986,103.853 1.31986,103.853 1.31986,103.853 1.31986,103.853 1.32026,103.853 1.32083,103.853 1.32095,103.853 1.32096,103.853 1.3225,103.852 1.32247,103.852 1.3231,103.851 1.32336,103.85 1.32267,103.85 1.32261,103.849 1.32279,103.849 1.32307,103.849 1.32368,103.85 1.32429,103.851 1.32509,103.851 1.32534,103.851 1.32542,103.85 1.32476,103.849 1.32581,103.848 1.32667,103.847 1.32574,103.847 1.32458,103.846 1.32423,103.845 1.3243,103.845 1.32431,103.843 1.32538,103.842 1.32615,103.842 1.32809,103.841 1.32899,103.842 1.32933,103.843 1.32956,103.846 1.32979,103.846 1.32921,103.846 1.32911,103.848 1.32976,103.849 1.3298,103.853 1.32933,103.856 1.3292,103.856 1.32921,103.857 1.32943,103.861 1.33057,103.862 1.33063,103.864 1.33007,103.866 1.32917,103.868 1.32849,103.868 1.32848,103.868 1.32807,103.868 1.3274,103.866 1.32522,103.865 1.32373,103.864 1.32201,103.863 1.32082,103.861 1.31838,103.859 1.31599,103.857 1.31775,103.855 1.31925))",174.75
33,KALLANG/BENDEMEER,"POLYGON((103.865 1.30709,103.865 1.30734,103.864 1.30936,103.863 1.31086,103.862 1.31094,103.86 1.31447,103.859 1.31547,103.859 1.31548,103.859 1.31599,103.861 1.31838,103.863 1.32082,103.863 1.32083,103.864 1.32201,103.865 1.32369,103.865 1.32373,103.866 1.32522,103.868 1.3274,103.868 1.32807,103.869 1.3274,103.872 1.3252,103.874 1.32185,103.875 1.32018,103.875 1.31946,103.873 1.31942,103.873 1.31917,103.872 1.31881,103.872 1.31789,103.872 1.31786,103.872 1.31747,103.872 1.31746,103.869 1.31517,103.869 1.31219,103.87 1.31059,103.87 1.31058,103.87 1.31055,103.871 1.30974,103.871 1.30974,103.871 1.30972,103.871 1.30815,103.868 1.30551,103.867 1.30482,103.865 1.30709))",47.75
34,UPPER SERANGOON/SENNETT,"POLYGON((103.871 1.34349,103.874 1.33948,103.875 1.33911,103.877 1.33701,103.878 1.33683,103.878 1.33672,103.878 1.33634,103.878 1.33523,103.878 1.33385,103.879 1.33263,103.879 1.33204,103.879 1.33126,103.88 1.3277,103.88 1.32693,103.881 1.32616,103.881 1.32523,103.881 1.32418,103.881 1.32268,103.876 1.3206,103.875 1.32018,103.874 1.32185,103.872 1.3252,103.869 1.3274,103.868 1.32807,103.869 1.32836,103.869 1.32877,103.869 1.33056,103.87 1.33222,103.87 1.33305,103.87 1.33389,103.87 1.33482,103.87 1.33563,103.87 1.33623,103.871 1.33939,103.871 1.34278,103.871 1.34339,103.871 1.3435,103.871 1.34349))",6.5
35,POTONG PASIR,"POLYGON((103.864 1.33115,103.865 1.3317,103.865 1.3333,103.865 1.33538,103.865 1.33596,103.865 1.33648,103.862 1.33885,103.858 1.34169,103.857 1.34278,103.857 1.3433,103.858 1.34333,103.859 1.34338,103.86 1.3434,103.86 1.34342,103.861 1.34339,103.861 1.34348,103.861 1.34718,103.861 1.3489,103.861 1.3493,103.862 1.35031,103.863 1.35127,103.863 1.35144,103.863 1.35149,103.864 1.35128,103.865 1.35073,103.867 1.35038,103.869 1.34955,103.87 1.34949,103.871 1.34907,103.872 1.34827,103.872 1.34618,103.871 1.34411,103.871 1.34339,103.871 1.34278,103.871 1.33939,103.87 1.33623,103.87 1.33563,103.87 1.33482,103.87 1.33389,103.87 1.33305,103.87 1.33222,103.869 1.33056,103.869 1.32877,103.869 1.32836,103.868 1.32807,103.868 1.32849,103.866 1.32917,103.864 1.33007,103.864 1.33049,103.864 1.33115))",34.25
36,MACPHERSON,"POLYGON((103.871 1.34349,103.871 1.3435,103.872 1.34363,103.873 1.34377,103.873 1.34371,103.874 1.34364,103.875 1.34369,103.876 1.34431,103.877 1.34436,103.878 1.34388,103.879 1.34313,103.88 1.34253,103.882 1.34156,103.883 1.33946,103.884 1.338,103.885 1.33782,103.887 1.33808,103.888 1.3358,103.888 1.33508,103.889 1.33351,103.889 1.33239,103.887 1.33172,103.886 1.33117,103.885 1.33064,103.885 1.32767,103.88 1.32772,103.879 1.3321,103.879 1.33204,103.879 1.33263,103.878 1.33385,103.878 1.33518,103.878 1.3352,103.878 1.33523,103.878 1.33634,103.878 1.33672,103.878 1.33683,103.877 1.33701,103.875 1.33911,103.874 1.33948,103.871 1.3394,103.871 1.34349))",15.75
38,ALJUNIED/GEYLANG,"POLYGON((103.879 1.33204,103.879 1.3321,103.88 1.32773,103.88 1.32727,103.884 1.32713,103.885 1.32683,103.884 1.32484,103.884 1.32212,103.886 1.32236,103.889 1.3225,103.891 1.32301,103.891 1.32283,103.891 1.32182,103.891 1.32129,103.892 1.31767,103.892 1.31685,103.892 1.31638,103.892 1.31516,103.892 1.31502,103.891 1.31486,103.89 1.31466,103.888 1.31434,103.887 1.31408,103.884 1.31353,103.883 1.31337,103.882 1.31312,103.881 1.31299,103.88 1.31278,103.879 1.31266,103.877 1.3122,103.877 1.31202,103.875 1.31153,103.875 1.31129,103.873 1.3105,103.872 1.3099,103.871 1.30973,103.871 1.30974,103.87 1.31059,103.869 1.31219,103.869 1.31515,103.872 1.31747,103.872 1.31789,103.872 1.31882,103.873 1.31917,103.873 1.31942,103.875 1.31946,103.875 1.32018,103.876 1.3206,103.881 1.32268,103.881 1.32418,103.881 1.32523,103.881 1.32616,103.88 1.32696,103.88 1.32775,103.879 1.33126,103.879 1.33204))",115.5
39,MOUNTBATTEEN,"POLYGON((103.892 1.31516,103.894 1.31546,103.894 1.31436,103.894 1.3142,103.894 1.31416,103.894 1.31403,103.894 1.31402,103.894 1.31389,103.893 1.31388,103.892 1.31379,103.892 1.31351,103.892 1.31264,103.892 1.31263,103.891 1.31236,103.89 1.31211,103.889 1.31184,103.89 1.30827,103.878 1.29986,103.875 1.2983,103.873 1.30039,103.868 1.30551,103.871 1.30815,103.871 1.30972,103.871 1.30974,103.871 1.30973,103.872 1.3099,103.873 1.3105,103.875 1.31129,103.875 1.3113,103.875 1.31153,103.877 1.31202,103.877 1.3122,103.877 1.3122,103.879 1.31266,103.88 1.31278,103.881 1.31299,103.882 1.31312,103.883 1.31337,103.884 1.31353,103.887 1.31408,103.888 1.31434,103.89 1.31466,103.891 1.31486,103.892 1.31502,103.892 1.31516))",133
40,EUNOS,"POLYGON((103.893 1.33514,103.894 1.33583,103.896 1.33723,103.896 1.33778,103.897 1.33705,103.899 1.33468,103.903 1.33142,103.905 1.32954,103.905 1.32873,103.906 1.32775,103.906 1.32728,103.906 1.32667,103.906 1.3261,103.906 1.32565,103.906 1.32473,103.905 1.32276,103.905 1.32162,103.905 1.32082,103.905 1.31916,103.905 1.31831,103.905 1.3178,103.904 1.3176,103.898 1.31667,103.898 1.31648,103.898 1.31623,103.897 1.31602,103.895 1.31559,103.894 1.31546,103.892 1.31516,103.892 1.31638,103.892 1.31685,103.892 1.31767,103.891 1.32129,103.891 1.32182,103.891 1.32282,103.891 1.32292,103.891 1.32301,103.891 1.32301,103.891 1.32421,103.891 1.32561,103.89 1.32649,103.89 1.32786,103.89 1.33016,103.889 1.33239,103.889 1.33351,103.89 1.33389,103.892 1.33434,103.892 1.33478,103.893 1.33514))",79
41,KEMBANGAN,"POLYGON((103.919 1.33143,103.919 1.33156,103.919 1.33065,103.919 1.32824,103.92 1.32607,103.92 1.32526,103.92 1.32418,103.92 1.3227,103.92 1.32196,103.92 1.32108,103.92 1.32077,103.918 1.32005,103.916 1.31965,103.913 1.31877,103.909 1.31808,103.908 1.31755,103.903 1.31686,103.901 1.31649,103.898 1.31579,103.898 1.31648,103.898 1.31667,103.904 1.3176,103.905 1.3178,103.905 1.31831,103.905 1.31917,103.905 1.3197,103.905 1.32082,103.905 1.32162,103.905 1.32278,103.906 1.32473,103.906 1.32565,103.906 1.3261,103.906 1.32667,103.906 1.32728,103.906 1.32775,103.905 1.32873,103.905 1.32954,103.903 1.33142,103.899 1.33469,103.897 1.33705,103.896 1.33778,103.897 1.33829,103.898 1.34033,103.899 1.3406,103.9 1.34089,103.901 1.34078,103.903 1.34029,103.903 1.34038,103.905 1.3434,103.905 1.3436,103.907 1.34447,103.908 1.34537,103.909 1.34848,103.91 1.34919,103.91 1.34931,103.912 1.34888,103.913 1.34926,103.913 1.35006,103.913 1.35154,103.913 1.35244,103.915 1.35393,103.919 1.35344,103.92 1.35368,103.923 1.3548,103.925 1.35728,103.925 1.35743,103.926 1.35715,103.926 1.3544,103.926 1.35308,103.926 1.34769,103.924 1.3473,103.922 1.3469,103.921 1.34634,103.919 1.34548,103.919 1.34548,103.918 1.34351,103.918 1.34117,103.917 1.33957,103.915 1.33656,103.914 1.33547,103.914 1.33336,103.913 1.33273,103.912 1.33186,103.911 1.33121,103.911 1.32961,103.912 1.32814,103.912 1.32814,103.913 1.3288,103.919 1.33143))",116.5
42,TELOK KURAU/JOO CHIAT,"POLYGON((103.916 1.30712,103.913 1.30638,103.91 1.30562,103.908 1.30467,103.907 1.30364,103.905 1.30256,103.903 1.30135,103.902 1.30433,103.9 1.30777,103.899 1.30892,103.897 1.31469,103.897 1.31602,103.898 1.31623,103.898 1.31579,103.901 1.31649,103.905 1.31716,103.908 1.31755,103.909 1.31808,103.913 1.31877,103.914 1.3182,103.914 1.31683,103.916 1.31366,103.916 1.31255,103.919 1.30752,103.916 1.30712))",55
43,TANJONG KATONG,"POLYGON((103.871 1.30205,103.873 1.30039,103.875 1.2983,103.878 1.29986,103.89 1.30827,103.889 1.31184,103.89 1.31211,103.891 1.31236,103.892 1.31263,103.892 1.31264,103.892 1.31351,103.892 1.31379,103.893 1.31388,103.894 1.31389,103.894 1.31402,103.894 1.31403,103.894 1.31416,103.894 1.3142,103.894 1.31436,103.894 1.31546,103.895 1.31559,103.897 1.31602,103.897 1.31469,103.899 1.30892,103.9 1.30777,103.902 1.30433,103.903 1.30135,103.901 1.30038,103.901 1.29993,103.901 1.29912,103.901 1.29612,103.897 1.29527,103.893 1.29513,103.891 1.2953,103.889 1.29526,103.883 1.29566,103.877 1.29551,103.875 1.29543,103.874 1.29523,103.87 1.2951,103.867 1.2944,103.867 1.29839,103.871 1.30205))",60.5
44,MARINE PARADE,"POLYGON((103.928 1.30951,103.929 1.30966,103.932 1.31068,103.934 1.31154,103.935 1.31161,103.936 1.31192,103.937 1.31214,103.937 1.31038,103.938 1.30706,103.939 1.30617,103.935 1.30467,103.913 1.29892,103.905 1.2969,103.905 1.29533,103.904 1.29643,103.902 1.29605,103.901 1.29612,103.901 1.29912,103.901 1.29993,103.901 1.30038,103.903 1.30135,103.905 1.30256,103.907 1.30364,103.908 1.30467,103.91 1.30562,103.913 1.30638,103.916 1.30712,103.919 1.30752,103.921 1.30793,103.923 1.30848,103.924 1.30861,103.926 1.30911,103.927 1.30929,103.928 1.30946,103.928 1.30951))",77
45,SIGLAP,"POLYGON((103.913 1.31877,103.918 1.32005,103.92 1.32077,103.92 1.32108,103.924 1.32215,103.925 1.3228,103.926 1.32296,103.927 1.32279,103.927 1.32226,103.928 1.31992,103.929 1.31694,103.929 1.3168,103.931 1.31639,103.932 1.31584,103.932 1.31453,103.933 1.31458,103.933 1.3144,103.934 1.31411,103.934 1.31154,103.932 1.31068,103.929 1.30966,103.928 1.30946,103.927 1.30929,103.926 1.30911,103.924 1.30861,103.923 1.30848,103.921 1.30793,103.919 1.30752,103.916 1.31255,103.916 1.31366,103.914 1.31683,103.914 1.3182,103.913 1.31877))",18.75
46,BEDOK,"POLYGON((103.927 1.32279,103.926 1.32296,103.925 1.3228,103.924 1.32215,103.92 1.32108,103.92 1.32196,103.92 1.3227,103.92 1.32418,103.92 1.32526,103.92 1.32607,103.919 1.32824,103.919 1.33065,103.919 1.33156,103.919 1.33163,103.921 1.3323,103.923 1.33368,103.923 1.3337,103.925 1.33431,103.925 1.33433,103.928 1.33516,103.93 1.33527,103.932 1.33509,103.936 1.33453,103.939 1.3344,103.94 1.335,103.941 1.33562,103.942 1.33707,103.944 1.33569,103.944 1.33511,103.944 1.33384,103.943 1.3329,103.943 1.33282,103.943 1.33261,103.943 1.33215,103.943 1.33176,103.943 1.33141,103.943 1.33088,103.943 1.33055,103.943 1.32994,103.944 1.32983,103.945 1.3302,103.946 1.33065,103.947 1.33182,103.947 1.3321,103.947 1.33193,103.948 1.33124,103.948 1.33055,103.948 1.33031,103.949 1.33006,103.95 1.32884,103.95 1.32863,103.95 1.32769,103.951 1.32714,103.951 1.3268,103.952 1.32551,103.954 1.32343,103.955 1.32218,103.955 1.32201,103.955 1.32167,103.956 1.32102,103.957 1.31878,103.959 1.3161,103.962 1.3129,103.956 1.31055,103.939 1.30617,103.938 1.30706,103.937 1.31038,103.937 1.31214,103.936 1.31192,103.935 1.31161,103.934 1.31154,103.934 1.31411,103.933 1.3144,103.933 1.31458,103.932 1.31453,103.932 1.31584,103.931 1.31639,103.929 1.3168,103.929 1.31681,103.929 1.31694,103.928 1.31992,103.928 1.31993,103.927 1.32226,103.927 1.32279))",405.75
47,BEDOK RESERVOIR,"POLYGON((103.919 1.34465,103.919 1.34465,103.919 1.34484,103.919 1.34547,103.921 1.34619,103.922 1.3469,103.924 1.3473,103.926 1.34769,103.926 1.34743,103.928 1.34676,103.929 1.34584,103.935 1.34404,103.939 1.34406,103.939 1.34361,103.938 1.34133,103.936 1.3385,103.935 1.33725,103.936 1.33536,103.936 1.33453,103.932 1.33509,103.93 1.33527,103.928 1.33516,103.925 1.33433,103.923 1.33368,103.921 1.3323,103.919 1.33163,103.913 1.3288,103.912 1.32814,103.912 1.32814,103.912 1.32814,103.911 1.32899,103.911 1.32961,103.911 1.32961,103.911 1.32962,103.911 1.33062,103.911 1.33121,103.912 1.33186,103.913 1.33273,103.914 1.33336,103.914 1.33535,103.914 1.33546,103.914 1.33547,103.915 1.33656,103.917 1.33917,103.918 1.34117,103.918 1.34351,103.919 1.34464,103.919 1.34465))",76.25
48,EAST COAST PARK/UPPER CHANGI,"POLYGON((103.943 1.33261,103.943 1.33282,103.943 1.3329,103.944 1.33384,103.944 1.33511,103.944 1.33569,103.942 1.33707,103.944 1.33879,103.947 1.34038,103.953 1.33388,103.953 1.33374,103.955 1.33207,103.955 1.33257,103.953 1.33481,103.952 1.33597,103.951 1.33719,103.95 1.33814,103.95 1.33852,103.951 1.33893,103.953 1.34042,103.957 1.34376,103.958 1.34466,103.958 1.34544,103.958 1.34711,103.959 1.3481,103.959 1.349,103.959 1.34939,103.96 1.34972,103.963 1.3501,103.964 1.35272,103.965 1.35287,103.966 1.3532,103.966 1.35321,103.967 1.35097,103.968 1.34878,103.968 1.34873,103.969 1.34835,103.97 1.34753,103.972 1.34686,103.974 1.34521,103.972 1.34185,103.972 1.3415,103.972 1.34072,103.973 1.34022,103.973 1.34019,103.978 1.33798,103.979 1.33778,103.979 1.3378,103.98 1.33792,103.98 1.3383,103.983 1.34389,103.983 1.34412,103.984 1.34401,103.984 1.34364,103.984 1.34316,103.982 1.33806,103.98 1.33507,103.978 1.3319,103.976 1.32906,103.976 1.32844,103.976 1.32696,103.976 1.32623,103.976 1.32439,103.976 1.32187,103.975 1.31596,103.962 1.3129,103.959 1.3161,103.957 1.31878,103.956 1.32102,103.955 1.32167,103.955 1.32201,103.955 1.32218,103.954 1.32343,103.952 1.32551,103.951 1.3268,103.951 1.32714,103.95 1.32769,103.95 1.32863,103.95 1.32884,103.949 1.33006,103.948 1.33031,103.948 1.33055,103.948 1.33124,103.947 1.33193,103.947 1.3321,103.947 1.33182,103.946 1.33065,103.945 1.3302,103.944 1.32983,103.943 1.32994,103.943 1.33055,103.943 1.33088,103.943 1.33141,103.943 1.33176,103.943 1.33215,103.943 1.33261))",54.5
49,CHANGI POINT,"POLYGON((103.974 1.36272,103.974 1.363,103.974 1.36325,103.975 1.36379,103.976 1.36631,103.976 1.36681,103.976 1.36682,103.976 1.36741,103.978 1.36848,103.979 1.36962,103.979 1.36963,103.98 1.37022,103.981 1.37011,103.981 1.37013,103.982 1.37029,103.983 1.37115,103.987 1.37591,103.987 1.37717,103.987 1.37794,103.987 1.37833,103.988 1.37857,103.988 1.3788,103.988 1.3791,103.988 1.37919,103.988 1.37944,103.988 1.3804,103.987 1.38347,103.987 1.38754,103.987 1.38878,103.987 1.38963,103.987 1.39037,103.987 1.39039,103.987 1.39199,103.987 1.39257,103.986 1.39304,103.986 1.39365,103.993 1.39135,103.992 1.3897,103.992 1.38907,103.991 1.3892,103.991 1.38903,103.991 1.38756,103.99 1.38335,103.99 1.38334,103.989 1.38219,103.989 1.38114,103.989 1.38089,103.989 1.38063,103.989 1.38057,103.989 1.38024,103.989 1.38004,103.989 1.37969,103.989 1.37951,103.989 1.37924,103.988 1.37889,103.987 1.37541,103.985 1.36961,103.983 1.36556,103.982 1.36362,103.982 1.36326,103.982 1.36325,103.982 1.36304,103.981 1.36264,103.981 1.36261,103.981 1.36245,103.981 1.36202,103.981 1.36195,103.98 1.35929,103.98 1.35924,103.974 1.34521,103.972 1.34686,103.97 1.34753,103.969 1.34835,103.968 1.34873,103.968 1.34878,103.967 1.35097,103.966 1.35321,103.967 1.35367,103.968 1.35392,103.968 1.35395,103.969 1.35423,103.969 1.35515,103.969 1.35519,103.969 1.35741,103.97 1.35861,103.97 1.35954,103.97 1.36013,103.971 1.3606,103.972 1.36159,103.974 1.3627,103.974 1.36272))",9.25
50,LOYANG,"POLYGON((103.973 1.38837,103.973 1.389,103.974 1.39093,103.977 1.39269,103.98 1.3932,103.982 1.39343,103.983 1.39275,103.984 1.39257,103.985 1.39289,103.986 1.39227,103.987 1.39202,103.987 1.39199,103.987 1.39037,103.987 1.38963,103.987 1.38878,103.987 1.38754,103.987 1.38347,103.988 1.3804,103.988 1.37944,103.988 1.37919,103.988 1.3791,103.988 1.3788,103.988 1.37857,103.987 1.37833,103.987 1.37794,103.987 1.37717,103.987 1.37591,103.983 1.37115,103.982 1.37029,103.981 1.37013,103.981 1.37011,103.98 1.37022,103.979 1.36963,103.978 1.36848,103.976 1.36741,103.976 1.36682,103.976 1.36631,103.975 1.36379,103.974 1.36325,103.974 1.363,103.974 1.3627,103.972 1.36159,103.971 1.3606,103.97 1.36013,103.97 1.35954,103.97 1.35861,103.969 1.35741,103.969 1.35519,103.969 1.35515,103.969 1.35423,103.968 1.35395,103.968 1.35392,103.967 1.35367,103.966 1.35321,103.966 1.3532,103.965 1.35287,103.964 1.35272,103.963 1.35765,103.961 1.36009,103.961 1.36029,103.977 1.37674,103.978 1.37763,103.978 1.37884,103.978 1.38105,103.977 1.38434,103.973 1.38837))",38.75
51,PASIR RIS,"POLYGON((103.935 1.37111,103.932 1.3703,103.932 1.36993,103.932 1.36987,103.93 1.36888,103.93 1.36878,103.93 1.36874,103.93 1.36834,103.929 1.36784,103.929 1.36781,103.928 1.36763,103.928 1.36745,103.928 1.36736,103.927 1.36736,103.927 1.36735,103.927 1.36735,103.927 1.36738,103.926 1.36741,103.926 1.36751,103.925 1.36775,103.925 1.36803,103.924 1.36875,103.924 1.36916,103.923 1.37036,103.921 1.37154,103.921 1.37171,103.921 1.37172,103.921 1.37177,103.921 1.37218,103.921 1.37232,103.921 1.37241,103.92 1.37327,103.92 1.37381,103.92 1.37586,103.92 1.37658,103.922 1.38154,103.923 1.38224,103.928 1.38858,103.93 1.39182,103.935 1.39645,103.935 1.39542,103.937 1.39136,103.939 1.39004,103.941 1.38891,103.944 1.38721,103.946 1.38532,103.949 1.38353,103.953 1.38262,103.954 1.38205,103.953 1.36551,103.952 1.36594,103.949 1.3667,103.948 1.36692,103.946 1.36735,103.946 1.36751,103.945 1.36784,103.945 1.36803,103.944 1.36821,103.942 1.37035,103.94 1.37109,103.94 1.37124,103.938 1.37126,103.936 1.37117,103.935 1.37111))",132.5
71,LIM CHU KANG,"POLYGON((103.728 1.41364,103.713 1.41304,103.711 1.41169,103.71 1.4128,103.709 1.41373,103.708 1.41385,103.707 1.41287,103.705 1.4119,103.705 1.41233,103.705 1.41337,103.704 1.41482,103.702 1.4184,103.701 1.41897,103.7 1.41917,103.697 1.41909,103.695 1.42066,103.694 1.42058,103.694 1.42019,103.694 1.41813,103.693 1.41752,103.691 1.41726,103.69 1.4175,103.689 1.41818,103.686 1.42039,103.685 1.4208,103.683 1.42197,103.683 1.42253,103.682 1.42361,103.682 1.42419,103.682 1.4251,103.683 1.42801,103.683 1.42903,103.683 1.42967,103.682 1.43061,103.683 1.43141,103.69 1.4339,103.696 1.43806,103.704 1.44404,103.708 1.44699,103.713 1.45023,103.72 1.4518,103.725 1.45175,103.73 1.45059,103.738 1.44223,103.739 1.44004,103.743 1.44,103.741 1.43366,103.736 1.42101,103.736 1.421,103.728 1.41364))",#N/A
